"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","group"
298,190,133,116,159,285,574,1476,1556,1199,1039,1122,1100,1460,1620,1812,2096,2235,1518,1264,984,816,595,386,3
550,311,149,118,174,377,957,1963,1978,1462,1306,1465,1400,1700,1935,2146,2196,2469,2299,1954,1730,1010,863,496,2
341,210,169,155,161,248,592,1384,1485,1278,1075,1216,1313,1657,1861,1686,2302,2241,2212,1700,1415,1152,870,550,4
307,200,163,124,150,257,608,1381,1566,1271,1128,1196,1180,1617,1845,1923,2144,2228,1981,1960,1708,1043,916,561,3
294,169,145,127,149,236,560,1465,1552,1282,1134,1138,1245,1513,1740,1932,2129,2080,1771,1213,906,842,603,427,3
794,463,379,232,262,328,598,955,1047,1419,1841,2111,2192,2237,2255,2492,2778,2807,2619,2757,2460,2122,1998,1914,1
425,290,222,162,184,212,333,617,797,1277,1669,1954,1675,1896,2241,2358,1981,1974,1877,1868,2062,1784,1161,739,1
346,217,163,130,154,298,589,1440,1557,1272,1098,1293,1331,1646,1745,1935,2119,2233,2163,1928,1411,1078,853,678,3
718,494,339,239,237,320,441,814,1103,1540,2022,2108,2102,2099,2313,2673,2665,2869,2788,2404,2270,1899,2106,1219,1
314,183,130,135,182,270,588,1517,1649,1478,1223,1303,1379,1717,1918,2169,2221,2457,2167,1876,2206,1236,1014,670,4
251,179,118,106,150,228,513,1435,1588,1355,1155,1194,1234,1549,1705,1933,2235,2337,1994,1583,1118,931,799,654,3
642,205,148,153,192,429,957,2175,1806,1415,1223,1246,1256,1519,1855,1930,2201,2126,2076,2071,1562,1297,927,518,3
468,305,252,191,226,244,452,957,1283,1175,1322,1686,1739,1920,2000,2175,2319,2216,1697,1509,1274,1048,867,658,3
1020,360,208,161,177,395,1104,1951,1897,1389,1269,1262,1439,1703,1880,1989,2138,2303,1918,1252,1285,928,793,453,2
277,169,159,96,116,244,501,1371,1579,1232,1050,1120,1229,1463,1709,1963,2217,2456,1845,1378,1120,923,795,530,3
319,195,134,124,153,251,582,1064,1768,1450,1093,1275,1311,1572,1773,2025,2200,2220,2051,2016,1883,1245,1094,733,4
505,202,143,127,142,263,659,1476,1641,1388,1279,1302,1395,1687,1992,2068,2275,2328,2154,2099,2109,1588,1145,749,4
377,250,161,136,147,234,488,1366,1570,1469,1311,1474,1555,1952,2084,1989,2361,2609,2471,2361,2038,1486,1064,783,4
324,213,125,112,143,235,532,1355,1530,1202,1085,1086,1152,1523,1682,1989,2193,2493,2143,1457,1166,977,749,513,3
309,191,137,124,164,264,530,1534,1649,1326,1156,1155,1207,1509,1668,2076,2062,2488,2176,1313,1056,921,652,430,3
347,291,142,129,154,248,518,1271,1617,1376,1227,1367,1384,1859,2064,2347,2462,2451,2250,2429,2103,1401,1034,579,3
236,167,120,106,141,258,562,1470,1482,1143,1091,1188,1252,1587,1637,2020,2120,2111,2092,1959,1671,1090,798,525,3
653,359,199,135,172,368,968,1962,1899,1505,1257,1362,1321,1583,1915,1988,2337,2501,1995,1734,1328,1042,733,532,2
249,188,132,106,142,227,565,1379,1626,1163,1026,1081,1174,1530,1627,1794,2058,2264,1933,1441,1147,1003,701,481,3
546,356,255,172,174,245,481,933,1112,1282,1498,1580,1596,1766,2093,2390,2592,2792,2820,2433,2275,2113,1685,1156,5
553,304,325,278,191,388,1027,1959,1934,1416,1248,1356,1419,1733,1806,2078,2268,2085,1906,1425,1275,1015,746,443,2
297,152,157,108,158,236,567,1459,1754,1333,1346,1387,1381,1759,1986,2083,2298,2328,2352,2257,2067,1493,1076,605,3
477,368,244,197,231,296,613,1051,1263,1316,1499,1445,1489,1676,2070,2300,2458,2665,2613,2363,2324,2117,2185,1685,5
481,251,153,97,154,299,871,1882,1867,1449,1272,1341,1278,1578,1786,1803,2195,2662,2067,1306,1130,877,687,466,2
268,174,112,113,101,196,474,1332,1527,1152,977,1087,1172,1431,1632,1721,1910,2113,1552,1125,1002,863,695,457,3
1103,413,280,227,220,289,450,749,1032,1553,2069,2040,2013,2100,2269,2586,2736,2783,2695,2369,2300,2150,1992,1917,1
716,280,168,134,175,442,1067,2023,1979,1488,1335,1430,1503,1443,1956,2018,2115,2369,2293,2139,2020,1650,1366,730,2
453,339,236,213,220,384,646,1197,1302,1433,1638,1652,1549,1888,2066,2264,2355,2550,2723,2587,2318,2093,2093,2010,5
469,278,151,153,218,304,614,1506,1589,1377,1264,1272,1335,1699,1822,1881,2054,2055,2222,2033,1893,1952,1164,621,3
758,500,318,240,254,353,553,855,1214,1732,2089,2444,2210,2302,2614,2683,2934,2973,2930,2755,2392,2094,2161,1419,1
274,184,134,115,155,212,472,1394,1590,1265,1127,1125,1280,1632,1860,1987,2563,2664,2416,2420,2014,1356,1109,711,4
510,257,168,135,159,385,1014,1937,1916,1302,1235,1300,1362,1644,1868,2061,2118,2247,2103,1959,1784,1118,792,484,2
610,395,282,215,233,333,536,1007,1159,1240,1462,1511,1584,1860,2124,2374,2487,2677,2656,2212,2276,2126,2050,2002,5
42,32,28,21,35,60,195,312,469,605,880,1056,1200,1483,1780,1972,1960,2069,1824,1787,1666,1574,1483,681,3
436,311,219,191,203,321,579,1069,1159,1210,807,1562,1646,1709,2091,2148,2367,2430,2417,2308,2301,2284,2091,1954,5
1459,906,422,330,280,388,537,965,1321,1795,2214,2178,2225,2338,2606,2746,2833,2731,2672,2272,2615,2518,2234,2035,1
293,198,145,124,156,275,602,1511,1593,1258,1082,1178,1304,1574,1813,2132,2319,2413,2275,1525,1236,975,645,429,3
908,310,189,118,165,430,1071,1918,1931,1462,1286,1382,1379,1724,1799,1931,2299,2219,2158,2002,1246,1078,667,423,2
335,263,161,118,122,214,547,1335,1508,1176,1034,1204,1210,1495,1662,1786,2096,2040,1765,1331,1226,1103,854,570,3
273,44,68,100,218,308,646,1430,1582,1246,1136,1225,1293,1443,1771,1944,2145,2207,2078,1438,1272,1048,810,534,3
301,170,149,122,139,276,557,1462,1666,1281,1137,1088,1227,1500,1702,2086,2309,2396,1987,1310,1207,962,725,491,3
1429,572,340,319,344,419,651,969,1318,1837,2188,2297,2252,2417,2535,2592,2687,2696,2789,2770,2664,2310,2172,2013,1
301,192,121,97,118,238,603,1441,1557,1183,1003,1073,1123,1595,1677,1946,2030,1958,1924,2125,1243,1047,778,476,3
297,190,146,114,141,251,550,1354,1508,1282,1099,1223,1196,1549,1741,1979,2256,2329,2182,1639,1479,1292,848,521,3
297,193,136,111,134,219,520,1378,1490,1205,1083,1199,1170,1419,1589,1902,2080,2144,1602,1130,977,839,709,433,3
852,325,187,155,174,447,1119,1956,2011,1541,1463,1465,1401,1887,1927,2057,2165,2258,2313,2209,2084,2028,1114,615,2
300,217,154,143,155,272,579,1521,1639,1320,1209,1258,1292,1689,1812,2051,2293,2445,2224,1585,1221,936,735,450,3
444,246,186,158,164,245,546,1235,1494,1293,1329,1425,1489,1858,2124,2301,2630,2625,2476,2391,2097,1389,997,580,3
