"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","group"
250,165,138,95,161,202,490,1372,1493,1158,1101,1055,1125,1442,1607,1815,2101,2408,1925,1457,1215,996,737,504,3
262,177,117,87,153,249,481,1366,1482,1186,1090,1120,1240,1577,1711,1884,2393,2606,2134,1636,1419,1245,1010,724,3
558,278,149,133,147,332,923,1869,1865,1363,1154,1182,1317,1471,1631,1967,2066,2150,1682,1315,1139,1005,768,465,2
292,165,130,100,126,226,505,1307,1474,1201,998,1021,1034,1362,1415,1613,1931,2154,1552,1186,980,839,706,444,3
254,146,112,86,124,200,457,1313,1409,1067,934,973,1059,1397,1495,1575,1953,2005,1696,1189,1094,879,718,424,3
268,183,113,87,128,212,481,1295,1426,1090,1016,1037,1046,1347,1480,1685,1812,2015,1568,1212,952,859,650,452,3
244,143,122,91,132,190,440,1296,1454,1180,998,1078,1091,1396,1590,1741,2084,2310,1873,1502,1182,1035,873,590,4
447,271,213,146,211,265,496,958,1026,1171,1208,1458,1474,1705,1968,2231,2513,2606,2234,2005,1973,1729,1547,990,5
647,381,289,169,172,236,416,735,846,1133,1547,1909,2094,2509,2660,2727,2849,2907,2050,1993,2133,2503,2247,1027,1
494,262,147,122,129,306,848,1775,1803,1288,1109,1225,1250,1524,1598,1886,2195,2225,1686,1282,1096,924,636,435,2
286,174,126,117,127,216,450,1344,1413,1169,989,1055,1077,1354,1515,1687,1976,2134,1705,1298,1013,867,649,427,3
262,168,120,105,148,228,469,1367,1390,1178,970,1025,1096,1395,1500,1707,2110,2333,1894,1387,1178,1002,734,461,3
275,154,126,86,132,217,494,1314,1471,1146,978,1094,1065,1386,1483,1590,1834,1936,1588,1198,1038,939,691,464,3
293,176,134,106,145,206,462,1337,1498,1221,1063,1145,1287,1614,1631,1769,2546,2580,2190,1603,1489,1206,1061,715,4
567,430,213,165,177,262,507,1011,1128,1157,1282,1450,1409,1825,1979,2386,2767,2914,2804,2941,2380,2526,2263,1304,5
728,429,292,217,242,291,480,913,1075,1380,1745,2161,2353,2605,2668,2859,2947,3024,3095,2960,2308,2468,2874,1623,1
616,306,128,97,156,340,945,1905,1814,1381,1192,1236,1303,1549,1793,1986,2234,2550,2050,1567,1320,951,683,473,2
274,175,144,113,144,220,541,1319,1486,1168,1069,1095,1178,1505,1552,1888,2085,2394,1921,1407,1205,934,656,424,3
323,177,118,99,131,224,522,1431,1453,1107,1008,1104,1171,1508,1690,1845,2103,2436,1904,1473,1141,1012,710,510,3
299,207,126,83,129,225,528,1394,1482,1175,962,992,1095,1398,1544,1739,1941,2170,1647,1294,944,882,695,412,3
252,159,98,95,133,191,539,1286,1422,1187,999,1008,1192,1488,1662,1883,2076,2414,2102,1574,1283,1135,923,627,4
447,288,194,139,215,268,502,1046,1023,1162,1266,1308,1405,1704,2068,2413,2789,2991,2895,2625,2455,2456,1772,1170,5
747,473,302,216,200,279,426,785,1046,1345,1690,2108,2530,2584,2860,2871,2932,2987,2933,2993,3035,2738,2555,1147,1
522,235,133,88,143,295,961,1844,1776,1338,1126,1229,1289,1567,1833,2068,2317,2462,1866,1507,1249,967,697,433,2
305,194,134,116,152,221,573,1396,1484,1186,1032,1065,1124,1536,1633,1856,2067,2412,1767,1393,1111,877,655,459,3
235,182,121,115,132,234,572,1391,1492,1227,1028,1118,1189,1523,1627,1830,2152,2363,1752,1453,1188,903,734,461,3
275,154,120,82,125,253,590,1457,1555,1162,990,1131,1174,1496,1625,1829,2097,2193,1940,1360,1137,882,581,394,3
232,153,118,105,131,207,507,1357,1515,1274,1073,1238,1246,1606,1740,1937,2275,2465,1999,1624,1355,1164,875,629,4
421,277,169,180,212,279,655,1098,1171,1202,1311,1561,1736,2201,2576,2794,2164,2914,2929,2841,2299,2712,2434,1225,5
608,369,232,209,220,301,511,842,1045,1415,1954,2475,2555,2731,2750,2849,2904,2966,2927,2815,2393,2332,2231,1026,1
509,230,138,77,145,292,915,1783,1839,1349,1233,1213,1262,1586,1804,1906,2506,2231,1724,1386,1110,884,662,432,2
224,171,124,109,156,231,548,1354,1396,1133,910,1003,1119,1412,1495,1769,1959,2057,1584,1248,1072,837,641,435,3
267,202,125,104,153,235,498,1365,1442,1090,954,1060,1171,1499,1666,1796,2147,2098,1769,1334,1121,989,735,512,3
317,165,132,104,136,227,490,1291,1387,1129,1015,1066,1321,1573,1656,1947,2315,2485,2197,1630,1352,1242,903,629,3
1489,456,277,176,201,408,1078,1941,1843,1450,1271,1313,1364,1686,1919,2195,2387,2296,1966,1528,1253,955,769,447,2
256,173,125,108,175,248,555,1396,1420,1156,1016,1049,1148,1470,1565,1803,2171,2200,1836,1315,1139,860,635,404,3
263,199,113,105,144,222,510,1333,1442,1056,968,1010,1155,1378,1613,1838,2153,2334,1838,1453,1146,960,692,429,3
280,162,126,97,153,226,555,1373,1437,1136,1009,1010,1207,1448,1617,2002,2261,2467,2065,1428,1172,902,673,422,3
277,176,118,99,157,258,558,1408,1554,1201,1054,1211,1303,1634,1764,2125,2325,2749,2351,1776,1375,1214,905,618,4
453,269,210,191,220,288,551,1062,1141,1194,1276,1408,1387,1833,2096,2385,2724,2814,2771,2748,2696,2460,2152,1175,5
628,391,329,216,253,327,499,832,1107,1425,1949,2277,2276,2347,2594,2729,2854,2959,2933,2882,2802,2510,2524,1034,1
560,279,125,97,133,313,920,1825,1727,1290,1203,1273,1325,1652,1844,1927,2291,2508,1914,1427,1341,1061,752,397,2
305,173,129,109,143,240,547,1353,1408,1206,1012,1113,1160,1418,1562,1753,2086,2185,1827,1441,1150,902,665,400,3
252,167,96,99,134,228,534,1381,1444,1155,1055,1087,1178,1484,1650,1869,2121,2505,2010,1480,1183,995,786,452,3
261,167,149,90,142,241,529,1344,1460,1176,989,1076,1192,1605,1599,2054,2334,2451,2005,1596,1244,1031,707,446,3
273,204,125,97,157,229,544,1264,1600,1134,1123,1201,1190,1540,1750,1938,1835,2303,2678,2318,1537,1148,937,635,4
432,304,204,147,207,272,537,993,1052,1225,1345,1403,1566,2031,2189,2395,2776,2888,2829,2530,2729,2656,2439,2065,5
898,503,312,274,270,284,459,803,1043,1357,1851,2207,2444,2601,2539,2730,2937,2992,2963,2970,2822,2746,2427,1091,1
424,229,140,78,142,328,947,1834,1762,1289,1141,1178,1260,1565,1779,1970,2293,2694,1987,1666,1341,1058,755,454,2
323,190,149,113,143,264,590,1331,1437,1164,1011,1105,1098,1412,1537,1820,2230,2190,1728,1226,998,863,651,423,3
265,178,106,99,144,217,516,1319,1407,1129,992,1087,1079,1486,1600,1883,2205,2345,1891,1423,1141,961,735,452,3
258,190,123,98,128,206,541,1384,1498,1096,962,1024,1061,1461,1564,1735,2093,2223,1901,1389,1166,927,706,412,3
311,167,109,107,143,205,511,1252,1499,1210,965,1063,1186,1515,1663,1856,2215,2553,2165,1691,1360,1184,937,681,4
426,276,208,154,206,307,559,1091,1185,1228,1316,1456,1448,1776,2091,2491,2674,2853,2826,2685,2778,2197,2249,1059,5
620,374,251,200,229,236,411,739,1026,1193,1769,2226,2193,2742,2835,2939,2926,2916,2908,2837,3020,2710,2349,1372,1
504,218,141,115,146,328,964,1772,1732,1329,1132,1197,1259,1564,1793,2101,2432,2605,2220,1700,1380,1161,820,457,2
266,177,161,121,146,227,573,1341,1481,1147,1066,1066,1148,1474,1646,1864,2257,2311,1758,1395,1158,937,725,491,3
